iindex,DateTime,CloseTime,Julian Open Time,Julian Closing Time,Latitude,Longitude,AltP_feet,AltP_meters,CH4 (ppmv),CH4 (ppbv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CS2 (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),EtCl (MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E/B),"1,3-Butadiene (B)",trans-2-Pentene,cis-2-Pentene,3-Methyl-1-butene,2-Methyl-1-Butene,2-Methyl-2-butene,"1,2-Propadiene",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),2-Methylheptane (B),3-Methylheptane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)","2,2,4-Trimethylpentane (B)","2,3,4-Trimethylpentane",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane,Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),LL,Year,Month,Day,Hour
33,2009-07-21 20:17:00,20:17:40,40015.84514,40015.8456,37.31666667,-120.22,1214.0,370.0272,1.905,190.5,,,480.0,13.3,,534.0,240.0,75.9,16.3,4.238,3.4,,53.7,215.0,24.1,30.6,20.55,9.09,90.0,62.3,0.21,3.77,502.0,10.61,0.412,0.66,0.22,,,,,9.22,6.08,7.02,1.11,3.63,0.63,1.26,,586.0,60.0,91.0,222.0,10.0,19.0,26.0,,,,,47.0,24.0,,4.0,,,,,,,,7.0,8.0,,,,,,43.0,,12.0,19.0,,,,22.0,6.0,,,,,,15.0,18.0,,,,,,,,,,5.0,7.0,5.0,3.0,,"(37.31666667, -120.22)",2009,7,21,20
34,2009-07-21 20:18:00,20:19:12,40015.84619,40015.84667,37.405,-120.2666667,1220.0,371.856,1.891,189.1,,,484.0,14.2,,541.0,241.0,77.2,16.5,4.324,3.6,,53.9,219.0,23.8,28.7,24.45,9.27,92.0,63.0,0.21,3.45,504.0,13.98,0.468,0.69,0.22,,,,,9.61,6.39,8.12,1.21,4.29,0.64,1.235,,615.0,65.0,98.0,275.0,17.0,24.0,36.0,,,,,56.0,23.0,,23.0,,,,,,,,8.0,9.0,,,,,,102.0,,11.0,19.0,,,,,8.0,,,,,,18.0,26.0,,,,,,,,,,9.0,12.0,7.0,3.0,,"(37.405, -120.2666667)",2009,7,21,20
35,2009-07-21 20:19:00,20:20:39,40015.84721,40015.84767,37.49,-120.3083333,1342.0,409.0416,1.879,187.9,,,473.0,14.3,,532.0,238.0,75.8,16.6,4.152,3.4,,53.2,212.0,23.0,26.0,22.05,9.17,90.7,68.8,0.2,3.87,505.0,10.17,0.446,0.68,0.22,,,,,9.0,5.79,7.28,1.05,3.57,0.64,1.225,,614.0,56.0,93.0,259.0,8.0,21.0,28.0,,,,,52.0,23.0,,257.0,,,,,,,,7.0,3.0,,,,,,69.0,,8.0,19.0,,,,,,,,,,,15.0,21.0,,,,,,,,,,4.0,7.0,6.0,3.0,,"(37.49, -120.3083333)",2009,7,21,20
36,2009-07-21 20:21:00,20:22:10,40015.84826,40015.84873,37.57833333,-120.36,1393.0,424.5864,1.855,185.5,,,489.0,12.1,,533.0,240.0,76.4,16.9,4.305,3.5,,54.7,218.0,23.5,27.5,20.4,9.21,91.5,60.6,0.22,3.8,503.0,9.8,0.487,0.68,0.22,,,,,9.48,5.63,6.7,0.97,3.33,0.62,1.265,,596.0,47.0,77.0,210.0,5.0,22.0,26.0,,,,,42.0,23.0,,31.0,,,,,,,,8.0,5.0,,,,,,65.0,,13.0,18.0,,,,,4.0,,,,,,17.0,17.0,,,,,,,,,,5.0,11.0,7.0,3.0,,"(37.57833333, -120.36)",2009,7,21,20
37,2009-07-21 20:23:00,20:23:42,40015.84932,40015.84979,37.65166667,-120.4,1353.0,412.3944,1.859,185.9,,,476.0,13.2,,535.0,240.0,76.7,16.8,4.257,3.4,,53.6,213.0,23.8,26.8,20.85,9.21,92.9,58.4,0.2,3.98,505.0,9.89,0.42,0.71,0.22,,,,,10.34,5.84,7.41,0.99,3.68,0.66,1.235,,643.0,49.0,82.0,221.0,14.0,24.0,27.0,,,,,45.0,21.0,,307.0,,,,,,,,9.0,4.0,,,,,,77.0,3.0,6.0,17.0,,,,,6.0,,,,,,15.0,19.0,,,,,,,,,,4.0,10.0,5.0,3.0,,"(37.65166667, -120.4)",2009,7,21,20
38,2009-07-21 20:24:00,20:25:08,40015.85034,40015.85079,37.62333333,-120.5,1292.0,393.8016,1.904,190.4,,,461.0,17.7,,533.0,239.0,76.4,16.5,4.21,3.3,,56.2,214.0,23.0,26.8,25.95,9.23,91.6,72.5,0.38,9.02,504.0,10.05,0.641,0.73,0.24,,,,,11.01,7.19,10.37,1.42,5.12,1.68,3.325,,710.0,90.0,145.0,388.0,10.0,33.0,46.0,,,,,91.0,67.0,,135.0,,,,,,,,11.0,6.0,,,,4.0,,81.0,9.0,11.0,23.0,,,,,14.0,,,,,,24.0,30.0,5.0,,,,,,,,,7.0,10.0,6.0,4.0,,"(37.62333333, -120.5)",2009,7,21,20
39,2009-07-21 20:25:00,20:26:39,40015.85138,40015.85184,37.58,-120.63,1230.0,374.904,1.947,194.7,,,482.0,42.2,,538.0,243.0,76.0,16.6,4.276,3.4,,74.8,245.0,24.8,31.7,26.4,9.41,92.9,71.3,0.83,5.92,509.0,11.0,0.651,0.74,0.32,,,,,12.17,8.05,11.86,1.76,6.4,1.52,3.145,,883.0,168.0,206.0,535.0,26.0,53.0,76.0,,3.0,,,164.0,89.0,,14.0,,,,,,,,25.0,10.0,,,,3.0,,80.0,21.0,19.0,30.0,,,4.0,7.0,21.0,,,,,,39.0,70.0,10.0,,,,,,,,,15.0,36.0,20.0,5.0,,"(37.58, -120.63)",2009,7,21,20
40,2009-07-21 20:27:00,20:26:39,40015.85241,40015.85184,37.55,-120.74,1230.0,374.904,1.857,185.7,,,465.0,23.6,,539.0,242.0,77.3,16.8,4.352,3.6,,62.1,251.0,24.6,29.8,25.35,9.49,90.5,64.0,0.3,4.54,505.0,9.26,0.498,0.73,0.32,,,,,11.33,6.98,9.29,1.41,4.97,0.84,1.625,,684.0,116.0,162.0,293.0,19.0,35.0,65.0,,4.0,,,137.0,48.0,,7.0,,,,,,,,35.0,8.0,,,,9.0,,116.0,22.0,15.0,26.0,,,3.0,6.0,17.0,,,,,,28.0,53.0,7.0,,,,,,,,,8.0,20.0,6.0,4.0,,"(37.55, -120.74)",2009,7,21,20
41,2009-07-21 20:28:00,20:29:37,40015.85345,40015.8539,37.545,-120.8583333,1155.0,352.044,1.845,184.5,,,461.0,17.7,,536.0,241.0,76.1,16.7,4.248,3.5,,56.2,214.0,23.0,26.8,26.55,9.62,89.7,77.6,0.59,10.98,504.0,9.22,0.5,0.72,0.38,,,,,11.37,6.77,9.46,1.35,5.12,1.14,2.295,,826.0,216.0,260.0,666.0,60.0,60.0,111.0,,5.0,,,321.0,166.0,,28.0,,,,,,,,39.0,19.0,,,,16.0,23.0,138.0,41.0,24.0,42.0,,,13.0,12.0,41.0,,,,,,35.0,147.0,18.0,,,,,,,,,7.0,10.0,6.0,4.0,,"(37.545, -120.8583333)",2009,7,21,20
42,2009-07-21 20:30:00,20:31:07,40015.85448,40015.85494,37.52,-120.9633333,1153.0,351.4344,1.932,193.2,,,501.0,66.5,,539.0,241.0,76.2,16.6,4.229,3.6,,58.8,244.0,26.0,29.1,23.7,9.53,88.3,71.9,1.63,6.99,513.0,9.13,0.554,0.73,0.34,,,,,11.8,7.14,7.98,1.32,4.45,0.64,1.255,,654.0,98.0,155.0,257.0,11.0,29.0,45.0,,,,,79.0,28.0,,12.0,,,,,,,,11.0,5.0,,,,,,51.0,7.0,15.0,24.0,,,,,12.0,,,,,,23.0,37.0,5.0,,,,,,,,,27.0,97.0,110.0,3.0,,"(37.52, -120.9633333)",2009,7,21,20
43,2009-07-21 20:31:00,20:32:34,40015.85552,40015.85595,37.47333333,-121.0616667,1153.0,351.4344,1.882,188.2,,,476.0,64.5,,540.0,251.0,77.6,16.9,4.295,3.4,,62.9,235.0,24.5,27.9,25.8,9.48,89.0,61.0,1.68,9.74,504.0,9.34,0.668,0.78,0.42,,,,,12.85,8.04,9.37,2.04,5.08,0.72,1.42,,630.0,98.0,154.0,251.0,11.0,36.0,43.0,,,,,90.0,30.0,,79.0,,,,,,,,12.0,7.0,,,,14.0,,38.0,10.0,11.0,23.0,,,,3.0,12.0,,,,,,24.0,40.0,3.0,,,,,,,,,8.0,11.0,5.0,3.0,,"(37.47333333, -121.0616667)",2009,7,21,20
44,2009-07-21 20:33:00,20:34:12,40015.8566,40015.85708,37.46,-121.1666667,1180.0,359.664,1.838,183.8,,,509.0,52.8,,528.0,248.0,76.5,16.5,4.124,3.3,,66.5,243.0,25.4,28.3,24.6,9.25,88.3,63.7,0.88,9.37,526.0,9.46,0.522,0.75,0.36,,,,,12.44,7.24,8.75,1.33,4.88,0.72,1.58,,650.0,114.0,161.0,405.0,15.0,33.0,46.0,,,,,100.0,35.0,,,,,,,,,,13.0,8.0,4.0,,,10.0,8.0,63.0,16.0,16.0,31.0,,,4.0,5.0,17.0,,,,,,50.0,48.0,9.0,,,,,,,,4.0,29.0,107.0,125.0,5.0,,"(37.46, -121.1666667)",2009,7,21,20
45,2009-07-21 20:35:00,20:35:42,40015.85764,40015.85813,37.535,-121.1283333,1115.0,339.852,1.857,185.7,,,484.0,38.7,,539.0,246.0,76.4,16.7,4.143,3.4,,63.2,227.0,25.8,27.9,22.8,9.23,87.7,64.5,1.44,8.3,504.0,9.21,0.564,0.64,0.34,,,,,9.38,5.65,6.68,0.98,4.03,0.63,1.565,,651.0,99.0,163.0,247.0,15.0,41.0,48.0,,,,,88.0,30.0,,94.0,,,,,,,,12.0,8.0,3.0,,,11.0,6.0,59.0,10.0,9.0,25.0,,,,5.0,16.0,,,,,,25.0,49.0,6.0,,,,,,,,,5.0,14.0,5.0,3.0,,"(37.535, -121.1283333)",2009,7,21,20
46,2009-07-21 20:36:00,21:37:12,40015.85868,40015.90083,37.61333333,-121.08,1120.0,341.376,1.883,188.3,,,530.0,36.2,,537.0,239.0,76.0,16.3,4.181,3.5,,64.6,230.0,26.1,26.6,22.95,9.28,87.9,60.2,0.76,6.83,545.0,9.82,0.646,0.75,0.36,,,,,10.83,6.78,7.86,1.19,4.52,0.7,1.59,,659.0,122.0,180.0,190.0,15.0,29.0,40.0,,,,,78.0,26.0,,8.0,,,,,,,,10.0,7.0,,,,11.0,6.0,35.0,12.0,11.0,26.0,,,,,12.0,,,,,,34.0,48.0,8.0,,,,,,,,5.0,32.0,155.0,194.0,,,"(37.61333333, -121.08)",2009,7,21,20
47,2009-07-21 20:38:00,20:38:41,40015.85972,40015.8602,37.695,-121.0333333,1134.0,345.6432,1.851,185.1,,,490.0,56.9,,538.0,239.0,76.5,16.6,4.21,3.5,,71.4,251.0,26.0,28.5,26.1,9.49,90.1,61.5,0.44,5.8,514.0,9.69,0.669,0.81,0.36,,,,,13.31,8.45,10.46,1.51,5.49,0.93,2.04,,697.0,101.0,153.0,461.0,29.0,35.0,56.0,,,,,136.0,46.0,,25.0,,,,,,,,17.0,9.0,5.0,,,15.0,8.0,75.0,17.0,14.0,28.0,,,4.0,22.0,18.0,,3.0,,,,29.0,45.0,6.0,,,,,,,,,9.0,30.0,19.0,4.0,4.0,"(37.695, -121.0333333)",2009,7,21,20
48,2009-07-21 20:39:00,20:40:08,40015.86076,40015.8612,37.78,-120.9916667,1109.0,338.0232,1.972,197.2,,,495.0,55.6,,539.0,254.0,76.5,16.6,4.276,3.2,,94.1,261.0,27.1,47.2,29.25,9.66,92.5,77.9,0.71,14.77,506.0,10.86,1.395,0.76,0.42,,,,,12.61,9.39,15.64,2.1,9.57,2.08,4.47,,977.0,178.0,253.0,744.0,33.0,88.0,146.0,,,,,374.0,130.0,,20.0,,,,,,,,38.0,17.0,6.0,,,29.0,23.0,123.0,39.0,23.0,45.0,,,9.0,12.0,42.0,,10.0,,,,43.0,129.0,16.0,,,,,,3.0,,,14.0,45.0,11.0,5.0,3.0,"(37.78, -120.9916667)",2009,7,21,20
49,2009-07-21 20:41:00,20:41:39,40015.86181,40015.86226,37.87333333,-120.9733333,1120.0,341.376,1.892,189.2,,,492.0,26.0,,532.0,238.0,76.1,16.5,4.219,3.5,,74.9,252.0,25.4,26.0,29.55,9.49,106.7,60.4,0.73,6.27,515.0,11.41,0.929,0.8,0.4,,,,,12.51,9.21,14.89,1.97,9.2,1.67,3.67,,1038.0,143.0,215.0,455.0,17.0,64.0,86.0,,,,,176.0,63.0,,5.0,,,,,,,,20.0,13.0,4.0,,,19.0,11.0,64.0,19.0,21.0,35.0,,,3.0,8.0,29.0,,5.0,,,,44.0,73.0,9.0,,,,,,,,3.0,10.0,24.0,24.0,4.0,3.0,"(37.87333333, -120.9733333)",2009,7,21,20
50,2009-07-21 20:42:00,20:43:11,40015.86285,40015.86332,37.96333333,-120.9433333,1110.0,338.328,1.857,185.7,,,490.0,38.3,,539.0,242.0,76.7,16.8,4.267,5.2,,60.8,232.0,25.0,28.9,26.1,9.76,116.5,63.8,0.44,9.44,524.0,12.85,0.983,0.83,0.32,,,,,12.96,8.05,10.58,1.44,6.08,0.96,2.12,,781.0,115.0,182.0,346.0,18.0,61.0,56.0,,,,,100.0,34.0,,,,,,,,,,12.0,11.0,,,,15.0,6.0,60.0,9.0,10.0,24.0,,,,7.0,18.0,,,,,,31.0,43.0,7.0,,,,,,3.0,,,5.0,13.0,10.0,6.0,,"(37.96333333, -120.9433333)",2009,7,21,20
51,2009-07-21 20:43:00,20:44:33,40015.86385,40015.86427,38.05,-120.91,1203.0,366.6744,1.85,185.0,,,495.0,41.9,,537.0,241.0,76.2,16.7,4.19,5.6,,69.4,233.0,25.6,28.6,24.15,9.55,114.5,69.5,0.52,9.72,525.0,9.54,1.028,0.75,0.28,,,,,11.32,7.28,10.35,1.47,6.18,2.02,4.24,,781.0,101.0,174.0,356.0,17.0,73.0,71.0,,,,,122.0,112.0,,59.0,,,,,,,,14.0,12.0,,,,12.0,6.0,63.0,12.0,9.0,24.0,,,,22.0,20.0,,,,,,27.0,52.0,7.0,,,,,,,,,3.0,9.0,5.0,5.0,3.0,"(38.05, -120.91)",2009,7,21,20
52,2009-07-21 20:47:00,20:47:40,40015.86597,40015.86644,38.15833333,-120.985,1241.0,378.2568,1.872,187.2,,,488.0,62.4,,541.0,244.0,77.0,16.7,4.276,3.9,,61.1,221.0,25.0,29.4,25.2,9.52,89.5,59.7,0.47,6.68,510.0,10.33,2.527,0.85,0.3,,,,,13.42,8.53,11.95,1.56,7.74,1.4,2.97,,932.0,88.0,155.0,359.0,12.0,85.0,85.0,,,,,133.0,49.0,,59.0,,,,,,,,15.0,12.0,3.0,,,10.0,6.0,92.0,12.0,15.0,32.0,,,,24.0,15.0,,3.0,,,,32.0,52.0,5.0,,,,,,,,,4.0,10.0,7.0,5.0,,"(38.15833333, -120.985)",2009,7,21,20
53,2009-07-21 20:48:00,20:49:11,40015.86701,40015.86749,38.125,-121.0983333,1248.0,380.3904,1.887,188.7,,,489.0,71.9,,537.0,243.0,76.7,16.8,4.248,3.7,,75.2,282.0,25.5,32.9,27.75,9.78,90.0,72.0,0.52,11.86,515.0,10.29,2.457,0.87,0.34,,,,,14.51,10.07,15.18,2.12,10.15,2.87,6.36,,1137.0,167.0,228.0,654.0,31.0,133.0,155.0,,,,,265.0,265.0,,22.0,,,,,,,,32.0,17.0,6.0,,,24.0,16.0,127.0,29.0,18.0,39.0,,,6.0,10.0,33.0,,9.0,,,,44.0,88.0,13.0,,,,,,,,,10.0,25.0,10.0,5.0,,"(38.125, -121.0983333)",2009,7,21,20
54,2009-07-21 20:50:00,20:50:40,40015.86806,40015.86852,38.08666667,-121.2316667,1088.0,331.6224,1.898,189.8,,,481.0,86.2,,535.0,241.0,76.3,16.5,4.143,3.7,,65.8,231.0,25.2,27.7,27.15,9.39,89.3,69.7,1.54,13.15,505.0,12.75,2.335,0.85,0.34,,,,,13.41,9.05,13.17,1.72,9.51,1.85,4.06,,991.0,173.0,248.0,489.0,25.0,144.0,144.0,,,,,273.0,99.0,,24.0,,,,,,,,30.0,20.0,6.0,,,23.0,15.0,108.0,28.0,34.0,44.0,,,6.0,12.0,33.0,,7.0,,,,41.0,87.0,14.0,,,,,,,,4.0,25.0,66.0,46.0,5.0,3.0,"(38.08666667, -121.2316667)",2009,7,21,20
55,2009-07-21 20:51:00,20:52:10,40015.8691,40015.86956,38.07,-121.32,1069.0,325.8312,1.897,189.7,,,475.0,66.4,,533.0,242.0,76.7,16.3,4.181,3.7,,66.2,226.0,24.8,28.4,27.0,9.42,91.6,66.4,0.89,11.44,509.0,10.35,1.972,0.82,0.34,,,,,13.4,8.18,11.79,1.46,8.79,1.95,4.1,,991.0,145.0,219.0,431.0,17.0,118.0,170.0,,,,,265.0,119.0,,5.0,,,,,,,,28.0,16.0,6.0,,,22.0,14.0,80.0,25.0,18.0,35.0,,,5.0,11.0,29.0,,8.0,,,,40.0,85.0,11.0,,,,,,4.0,,,10.0,21.0,10.0,5.0,,"(38.07, -121.32)",2009,7,21,20
56,2009-07-21 20:53:00,20:53:40,40015.87014,40015.8706,38.08666667,-121.255,1006.0,306.6288,1.925,192.5,,,485.0,82.3,,540.0,244.0,76.8,16.7,4.305,3.7,,70.9,317.0,25.5,30.3,28.65,9.71,114.8,73.6,1.1,14.92,522.0,10.6,1.303,0.76,0.42,,,,,13.43,8.28,11.81,1.57,7.85,1.48,3.195,,866.0,153.0,237.0,411.0,24.0,94.0,125.0,,,,,226.0,81.0,,42.0,,,,,,,,25.0,15.0,5.0,,,23.0,14.0,130.0,26.0,18.0,35.0,,,7.0,11.0,30.0,,7.0,,,,38.0,77.0,13.0,,,,,,3.0,,,10.0,39.0,11.0,6.0,,"(38.08666667, -121.255)",2009,7,21,20
57,2009-07-21 20:54:00,20:55:15,40015.87123,40015.8717,38.00666667,-121.525,986.0,300.5328,1.919,191.9,,,490.0,103.8,,539.0,247.0,77.1,16.8,4.362,3.6,,80.8,281.0,25.9,31.1,29.4,9.8,129.5,74.7,1.71,20.16,528.0,9.97,0.788,0.82,0.4,,,,,13.12,7.94,11.3,1.57,7.76,1.41,3.24,,969.0,228.0,298.0,587.0,49.0,145.0,176.0,,4.0,,,350.0,127.0,,102.0,,,,,,,,41.0,24.0,10.0,,,32.0,23.0,157.0,43.0,44.0,51.0,,,10.0,14.0,52.0,,12.0,,,,49.0,124.0,22.0,,,,,,4.0,,,23.0,63.0,19.0,6.0,,"(38.00666667, -121.525)",2009,7,21,20
58,2009-07-21 20:56:00,20:56:41,40015.87222,40015.8727,38.00988333,-121.6316667,978.0,298.0944,1.867,186.7,,,479.0,81.2,,539.0,242.0,76.5,16.6,4.238,3.4,,83.3,289.0,25.5,30.2,31.5,9.82,119.9,78.1,1.49,16.13,503.0,9.4,0.682,0.83,0.6,,,,,13.89,8.24,11.92,1.6,7.76,1.44,3.17,,938.0,208.0,281.0,434.0,25.0,104.0,144.0,,,,,306.0,100.0,,9.0,,,,,,,,32.0,20.0,7.0,,,36.0,20.0,157.0,38.0,24.0,40.0,,,10.0,13.0,44.0,,9.0,,,,51.0,124.0,19.0,,,,,,4.0,,,20.0,42.0,12.0,6.0,,"(38.00988333, -121.6316667)",2009,7,21,20
59,2009-07-21 20:57:00,20:58:08,40015.87326,40015.8737,38.06,-121.6583333,973.0,296.5704,1.846,184.6,,,479.0,54.1,,534.0,244.0,76.9,16.5,4.238,3.6,,78.2,241.0,26.1,33.2,25.65,9.7,110.8,79.0,1.21,16.33,505.0,9.76,0.561,0.77,0.3,,,,,11.31,6.4,8.19,1.08,5.16,0.93,2.085,,736.0,131.0,196.0,308.0,20.0,73.0,106.0,,,,,184.0,66.0,,4.0,,,,,,,,21.0,13.0,4.0,,,17.0,12.0,112.0,20.0,16.0,31.0,,,6.0,35.0,26.0,,6.0,,,,32.0,69.0,12.0,,,,,,6.0,,,12.0,34.0,18.0,5.0,3.0,"(38.06, -121.6583333)",2009,7,21,20
60,2009-07-21 20:59:00,20:59:40,40015.87431,40015.87477,38.135,-121.5916667,972.0,296.2656,1.852,185.2,,,477.0,68.3,,535.0,239.0,76.2,16.5,4.152,3.4,,72.9,229.0,24.5,27.3,25.65,9.41,90.2,78.1,1.52,13.61,508.0,10.36,0.862,0.74,0.34,,,,,10.86,6.48,8.94,1.13,7.07,1.36,2.985,,1258.0,179.0,213.0,599.0,33.0,166.0,268.0,,3.0,,,357.0,149.0,,30.0,,,,,,,,42.0,23.0,11.0,,,26.0,20.0,117.0,37.0,23.0,38.0,,,8.0,9.0,35.0,,12.0,,,,46.0,108.0,15.0,,,,,,3.0,,,14.0,51.0,17.0,7.0,,"(38.135, -121.5916667)",2009,7,21,20
61,2009-07-21 21:00:00,21:01:11,40015.87535,40015.87582,38.19166667,-121.4866667,932.0,284.0736,1.891,189.1,,,471.0,79.4,,531.0,238.0,77.0,16.5,4.114,3.2,,64.5,223.0,25.3,26.9,26.1,9.4,88.3,63.1,1.43,11.99,504.0,10.8,1.692,0.84,0.34,,,,,13.38,8.45,12.47,1.57,9.56,1.95,4.11,,1672.0,150.0,208.0,742.0,19.0,193.0,235.0,,,,,289.0,130.0,,9.0,,,,,,,,31.0,21.0,7.0,,,21.0,15.0,107.0,28.0,19.0,38.0,,,6.0,8.0,27.0,,10.0,,,,40.0,75.0,10.0,,,,,,,,,11.0,26.0,9.0,6.0,,"(38.19166667, -121.4866667)",2009,7,21,21
62,2009-07-21 21:02:00,21:02:44,40015.87639,40015.8769,38.23333333,-121.3833333,911.0,277.6728,1.875,187.5,,,493.0,73.9,,537.0,242.0,76.2,16.6,4.171,3.4,,73.3,230.0,25.2,27.8,26.25,9.49,89.1,65.9,1.18,11.96,527.0,10.66,1.987,0.88,0.34,,,,,14.72,9.32,13.68,1.74,9.94,2.17,4.525,,960.0,129.0,201.0,521.0,20.0,156.0,160.0,,,,,253.0,110.0,,121.0,,,,,,,,25.0,16.0,3.0,,,21.0,12.0,130.0,22.0,16.0,32.0,,,4.0,9.0,25.0,,8.0,,,,35.0,60.0,7.0,,,,,,,,,10.0,27.0,23.0,6.0,,"(38.23333333, -121.3833333)",2009,7,21,21
63,2009-07-21 21:03:00,21:04:10,40015.87743,40015.87789,38.295,-121.3,1046.0,318.8208,1.874,187.4,,,484.0,52.2,,535.0,241.0,76.1,16.5,4.133,3.8,,68.8,223.0,24.2,29.0,25.95,9.31,88.0,64.0,1.41,11.71,505.0,10.05,1.651,0.82,0.34,,,,,12.7,8.64,13.0,1.59,9.99,2.29,5.06,,991.0,147.0,208.0,508.0,20.0,166.0,171.0,,,,,309.0,127.0,,45.0,,,,,,,,34.0,17.0,7.0,,,24.0,16.0,118.0,28.0,17.0,33.0,,,5.0,9.0,26.0,,11.0,,,,43.0,73.0,10.0,,,,,,,,,7.0,15.0,6.0,4.0,,"(38.295, -121.3)",2009,7,21,21
64,2009-07-21 21:05:00,21:05:40,40015.87847,40015.87894,38.375,-121.2483333,1030.0,313.944,1.876,187.6,,,478.0,56.8,,538.0,243.0,76.5,16.4,4.21,3.6,,57.3,218.0,24.3,26.3,24.75,9.43,89.0,76.7,0.89,8.83,514.0,10.17,1.245,0.88,0.32,,,,,13.23,8.66,12.56,1.62,9.89,1.76,3.73,,989.0,89.0,159.0,659.0,36.0,226.0,112.0,,,,,147.0,70.0,,55.0,,,,,,,,17.0,9.0,3.0,,,17.0,5.0,88.0,12.0,11.0,26.0,,,,4.0,16.0,,3.0,,,,27.0,38.0,5.0,,,,,,,,,4.0,9.0,,4.0,,"(38.375, -121.2483333)",2009,7,21,21
65,2009-07-21 21:06:00,21:07:10,40015.87951,40015.87998,38.39,-121.34,1008.0,307.2384,1.877,187.7,,,512.0,48.5,,537.0,244.0,76.3,16.6,4.267,3.7,,71.0,243.0,25.7,28.4,25.5,9.48,89.8,74.9,1.36,12.15,562.0,11.11,1.546,0.86,0.36,,,,,13.06,8.8,13.21,1.67,9.65,1.87,3.89,,1142.0,104.0,166.0,1324.0,167.0,183.0,142.0,,,,,237.0,96.0,,14.0,,,,,,,,23.0,17.0,5.0,,,25.0,10.0,95.0,21.0,16.0,32.0,,,3.0,8.0,21.0,,7.0,,,,28.0,57.0,10.0,,,,,,,,,29.0,107.0,118.0,6.0,4.0,"(38.39, -121.34)",2009,7,21,21
66,2009-07-21 21:08:00,21:08:41,40015.88056,40015.88103,38.36833333,-121.44,1017.0,309.9816,1.884,188.4,,,477.0,25.3,,535.0,243.0,76.3,16.8,4.219,3.4,,62.2,227.0,24.0,23.8,24.45,9.44,88.1,58.4,0.74,8.2,504.0,10.86,1.84,0.84,0.32,,,,,12.12,7.96,11.33,1.45,8.09,1.43,3.165,,957.0,89.0,154.0,396.0,11.0,168.0,103.0,,,,,142.0,57.0,,33.0,,,,,,,,16.0,13.0,4.0,,,16.0,7.0,55.0,12.0,9.0,27.0,,,,3.0,15.0,,4.0,,,,29.0,46.0,5.0,,,,,,,,,,9.0,3.0,4.0,,"(38.36833333, -121.44)",2009,7,21,21
67,2009-07-21 21:12:00,21:12:58,40015.88368,40015.884,38.14333333,-121.5633333,1032.0,314.5536,1.854,185.4,,,506.0,72.1,,531.0,238.0,76.1,16.9,4.133,3.2,,75.1,241.0,25.0,29.5,25.95,9.18,92.8,64.3,1.46,13.14,530.0,9.82,0.862,0.68,0.34,,,,,12.79,7.4,10.08,1.33,7.48,1.43,2.84,,1202.0,142.0,201.0,578.0,22.0,139.0,231.0,,,,,298.0,119.0,,16.0,,,,,,,,35.0,21.0,7.0,,,23.0,17.0,120.0,37.0,18.0,34.0,,,10.0,12.0,31.0,,,,,,41.0,78.0,12.0,,,,,,6.0,3.0,5.0,51.0,143.0,133.0,7.0,4.0,"(38.14333333, -121.5633333)",2009,7,21,21
